Ranking,Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Year,GDP_Growth,Inflation,Unemployment
50,Italy,Western Europe,5.948,7.40136,0.85419,73,0.39174,0.28676,0.94744,2015,1.03826511770654,0.782776477740896,11.896
51,Bolivia,Latin America and Caribbean,5.89,4.03057,0.69775,58,0.85727,0.25803,0.84056,2015,3.27865155787241,-4.62060225845636,3.111
52,Moldova,Commonwealth of Independent States,5.889,3.51674,0.72404,61,0.49002,0.26325,0.97074,2015,0.429158887977096,11.5743149591168,1.781
53,Paraguay,Latin America and Caribbean,5.878,4.49503,0.9305,63,0.80478,0.43021,0.85067,2015,1.46452361944058,1.60388806092038,4.556
54,Kazakhstan,Commonwealth of Independent States,5.855,6.64062,0.80045,62,0.77119,0.1486,0.84683,2015,-0.299093532608879,1.82354987628641,4.93
55,Slovenia,Central and Eastern Europe,5.848,7.00998,0.90844,70,0.90865,0.31824,0.93139,2015,2.31634491842804,0.867198319325425,8.962
56,Lithuania,Central and Eastern Europe,5.833,6.7867,0.89675,65,0.31867,0.03318,0.98131,2015,3.75632420325671,-0.0022527821753755,9.12
57,Nicaragua,Latin America and Caribbean,5.828,3.50947,0.8143,66,0.82831,0.34949,0.65,2015,3.37914204919937,7.58848529069897,4.7
58,Peru,Latin America and Caribbean,5.824,5.32525,0.69503,65,0.61959,0.18824,0.89148,2015,2.09361990664132,2.69052090074331,3.272
59,Belarus,Commonwealth of Independent States,5.813,6.10455,0.87923,65,0.56646,0.13879,0.65411,2015,-3.9572512636508,16.0224937897335,5.881
60,Poland,Central and Eastern Europe,5.791,6.65842,0.91246,67,0.79318,0.21057,0.92369,2015,4.50138467634895,1.32071091723995,7.475
61,Malaysia,Southeast Asia,5.77,6.65435,0.76323,65,0.79172,0.41558,0.80974,2015,3.28578556272301,1.21805573355338,3.1
62,Croatia,Central and Eastern Europe,5.759,6.40398,0.56784,67,0.38647,0.0684,0.95597,2015,3.54911571283303,0.123860190567626,16.15
63,Libya,Middle East and North Africa,5.754,6.6933,0.79774,64,0.62216,0.22987,0.80028,2015,-2.43005265175647,-7.04070727195378,19.69
65,Jamaica,Latin America and Caribbean,5.709,4.79395,0.82085,64,0.75316,0.26675,0.95835,2015,0.605132259299552,12.478319848914,8.825
67,Cyprus,Western Europe,5.689,7.14692,0.63697,72,0.60729,0.38496,0.88864,2015,3.19512275980128,-0.754231430452322,15.026
68,Algeria,Middle East and North Africa,5.605,5.55657,0.76857,61,0.42672,0.09828,0.68504,2015,1.09962061859601,-4.98674479608955,11.206
70,Turkmenistan,Commonwealth of Independent States,5.548,5.67006,0.87481,58,0.71087,0.21333,0.44115,2015,4.09291832714018,-5.15329778752206,4.016
71,Mauritius,Sub-Saharan Africa,5.477,5.96071,0.7026,64,0.83714,0.47425,0.86373,2015,3.55335696562737,1.49398972580686,7.41
73,Estonia,Central and Eastern Europe,5.429,6.81338,0.87568,67,0.67023,0.10906,0.72488,2015,1.77141701957223,1.30643907694559,6.412
74,Indonesia,Southeast Asia,5.399,4.89981,0.77525,62,0.69597,0.64752,1.0,2015,3.70583428895539,3.98024266013961,4.514
78,Nigeria,Sub-Saharan Africa,5.268,3.87095,0.64491,45,0.51265,0.34218,0.92697,2015,0.081979577825436,2.86366512298946,4.134
79,Bhutan,South Asia,5.253,4.55759,0.78728,59,0.79444,0.60308,0.72016,2015,5.58370603464722,3.20977727445317,2.45
80,Azerbaijan,Commonwealth of Independent States,5.212,6.05702,0.66889,62,0.5529,0.098,0.70891,2015,-0.147024760133903,-8.80961556609952,4.96
81,Pakistan,South Asia,5.194,3.52236,0.29532,57,0.18069,0.42306,0.8104,2015,2.76648640710329,4.44198033438504,3.566
82,Montenegro,Central and Eastern Europe,5.192,5.76415,0.64581,65,0.27264,0.20279,0.74098,2015,2.37419874424694,2.28621254436099,17.555
83,Jordan,Middle East and North Africa,5.192,5.33583,0.7516,64,0.60713,0.13887,0.74102,2015,-5.58980174753611,2.16975211695323,13.075
84,China,East Asia,5.14,5.26566,0.67517,68,0.77191,0.10285,0.94961,2015,6.35855026398104,0.137261200602396,4.65
85,Zambia,Sub-Saharan Africa,5.129,2.78261,0.65333,50,0.72905,0.24615,0.7741,2015,-0.241301067013211,6.65929211357343,5.951
86,Romania,Central and Eastern Europe,5.124,6.17272,0.63176,67,0.52361,0.17274,0.98825,2015,3.64306941096366,3.26453494332559,6.812
87,Serbia,Central and Eastern Europe,5.123,5.44558,0.72003,66,0.30022,0.24163,0.95258,2015,1.81545266180656,2.16912075555875,17.66
88,Portugal,Western Europe,5.102,6.86169,0.81253,70,0.7685,0.17238,0.98047,2015,2.01139554784055,1.96244699137272,12.405
