"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.59197006652872","3.10843918798423","3.96254301358969","5.76986990784422","5.61485982807162","3.82233511678332","5.30031405765243","6.28797536126895","3.37583749127457","3.25948642303557","3.70423775271973","6.59295050184228","2.19006066092493","1.03610080269524","-2.83550241253081","4.43468813342022","3.04904620110997","2.80990970893053","5.06749722968669","3.48434619543613","5.16689296887391","4.26244900176589","1.70328044813839","-1.22340655068425","4.00567421402882","0.184032701346126","-1.99594849465619","0.871012206953537","2.46455256597713","-0.528141045675781","0.147649480345706","2.64481426494012","0.913616964944026","-2.96163547245821","1.60214279963571","4.28905985034554","7.10903726756209","4.14429063164188","",
"Africa Eastern and Southern","AFE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","1.93394654573322","0.596607181612448","3.1500527743382","3.72697762199365","2.96282610936525","3.44451810994963","1.77938415094958","3.22709425782461","4.66069284074163","4.9375235930307","3.27935307157383","9.81457603484345","12.2244748984293","15.1283461204314","11.8844308782838","9.53063246851585","10.4081011819645","10.5402897346017","14.5712374011678","19.2052947603321","9.28188954216281","9.26424806661183","11.2297767239743","12.7347557716885","16.1443312605572","13.9165769085529","12.6940698241788","20.1526012665392","14.8392839136103","11.9939039075081","14.9789364260078","14.6406552101884","13.8705025929709","17.0164147872542","16.1027117424962","15.1761803358905","10.5450486551459","9.10917293901807","8.00644269547142","11.1173058824862","8.24338668885363","9.10241454376863","7.8067408729751","9.60039256006742","7.62368935878268","7.65225430526529","8.24576476611674","10.961412407556","8.28143239106254","5.88302203486953","9.4090312476406","5.61835989994989","5.90580296292937","5.40353538297499","5.4351166708285","6.85841639829724","6.07507209721174","4.32175867770079","4.38367304846358","5.37528980301067","6.08815281184378","9.0101344503435","6.92132238472385","6.07763302858837","",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.7745360319214","6.12552202910163","11.655238221181","11.2714320572149","10.9127735503048","7.19975129292388","22.5277562007029","2.09628875042125","-2.16340442746143","3.81463031545211","16.5933467401627","7.30175646760432","4.82278547876986","0.56694454253261","2.44756300147404","-2.19752646733461","2.40365618765746","2.07134857783487","6.52147984832531","6.9629462552564","2.83899625081041","9.40623933931322","2.92366213121669","","",
"Africa Western and Central","AFW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","3.2784459977796","2.48595550659368","2.78147914636031","3.38106058115134","2.40502608843418","4.13875253122386","1.22775183399891","1.62794933529351","4.21395854238529","3.35065176133496","4.18919648768647","5.14581076875683","7.61859793514425","13.4225905212844","8.5868075308184","11.3197643284877","10.8719879924002","6.61649466282473","10.7617886745716","11.0012811184527","9.18908450527577","13.4846849282177","9.16941829788771","11.3150500363978","5.63984013171798","2.19410141158399","2.35651163978967","3.69277055172387","4.2082397267161","3.30028953187186","3.31280575472912","0.96660633105148","1.7812643037722","24.79419518496","7.39692068899853","6.91042721113146","2.14440148702548","5.39959129684851","4.45269303119723","4.81543026118216","3.86179519283827","2.67339738740157","1.71882163202884","5.72415233192839","7.23052110383789","5.13410373993764","6.16324892911774","9.64445807905694","1.48940469192029","5.42501129522069","8.31363270319106","5.08156070785505","1.55402532167179","0.648899894966959","1.91155452817166","1.736323129284","1.86805952858041","2.15033893298982","1.35862850854981","1.9052718249993","4.95938798193526","6.97625920341339","3.57380956363149","4.02724479557765","",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.10030616696147","0","0.0127635583865811","0.00118810989950191","19.0352057407946","-9.01306191994352","9.82331134996616","2.21377444948736","16.2796626853839","14.0074398272591","106.309982268478","476.515750863261","917.783468411763","2175.97895508759","1825.49514900731","4800.53164415744","95.4530221791129","39.3593483252693","557.501113091215","418.018991534099","106.352125501451","236.345743392108","94.6072611415956","33.3823237230961","40.1364510930374","16.8144177409717","5.17451412385232","19.4273825037442","-14.2712785841144","28.6707999117781","29.6448791394687","7.11226963759002","3.23350803784217","4.08173188082372","-2.95734582640344","20.8727031796989","23.7128061508132","25.1941561527886","19.865887523588","16.0635806527472","35.6536922843777","18.1217716217607","17.9292334566891","24.6045843466503","",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.13957198618195","-0.017719099620507","-0.0167551716366177","-0.0283602576437403","0.351222347837975","-2.41730042881592","-0.000306092920865808","-0.000578579272129787","0.00367916016112702","-0.431368812605996","35.5142469536257","232.984658847733","125.650814248279","35.8424752083152","33.5170816036326","16.9344096030553","12.7559380021331","7.85515459177739","2.78507709416616","5.91957346525058","3.76594531101591","3.90388141100428","4.93749255224851","3.09536654638973","3.14370505375079","2.68476832531357","5.14956776072877","3.49863912505761","2.57034008938903","4.12744389120799","1.69479180198789","0.226739790649205","0.352563785277709","1.44342053888136","0.771576290611591","-0.864265221201691","2.72506918540461","1.45328722509015","1.00063285556122","0.0410649985799267","3.4442567503793","9.86160992016288","5.73390704564409","2.35318090275747","",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.84587099758265","8.51807767365098","11.8494338124947","15.9452014096622","16.7817953953987","16.4898572074663","23.3830925555267","20.63104141592","16.9316890399132","13.3548138413184","12.3511731944832","13.5823498012472","11.8842353012303","10.8647343940798","8.59546375926088","10.8788152026056","5.94419881956037","5.9361249975981","6.89620711872611","7.32624369631456","6.93514835426407","6.71076896051142","4.53723214675858","3.87985832158631","4.93312104936552","0.797177729321263","2.22816030666122","1.49955384331271","2.73197952535102","28.7415528975991","3.08053517916559","3.23953176987777","3.17748421556476","3.04242399802695","3.39610212995052","3.45718408670396","3.21122734131436","2.27433831984322","0.132136132405464","0.374313758110119","0.196764152031051","0.174556905779482","0.448492200194735","-0.0840193165570753","0.660588959137868","0.347795381575793","1.13650934319639","1.01247848005298","1.37475350829189","1.11378607410401","2.5588606935971","4.23665226454663","6.29560082401824","3.14365541697994","",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","2.01537452545222","3.29617204048334","3.19390148594043","1.50133145684521","2.75119762106486","2.3896021949059","2.75484922141703","1.06482414619673","3.91033373750788","7.35709355603809","3.14290859280182","15.2464081259903","34.6065505598652","5.59914413260866","8.62978218612457","10.3700771762442","4.16044832252977","19.271855817196","24.1580815878628","9.69022347360302","6.36523697789958","6.88749696075298","6.15154702416287","2.64308471682502","1.98493777714359","9.36808989082694","4.17732530004293","7.97612484555617","12.746316604425","7.44099981033727","5.71674375604079","3.86316291751921","7.60245219663038","7.53840293949897","6.65755753090085","2.75712224933042","-3.13108869936045","8.44337746020061","11.4595357939895","1.86769984238948","3.77083954826043","4.93219036234238","10.9375405233887","14.5852590982142","9.09650632380644","8.04654705838685","15.9501259770903","-2.78022303939403","12.0069509099953","12.3038726016439","4.66181078103054","1.26026248256035","1.08238607065606","-2.11499706876131","0.920589535113145","4.81838081736047","6.86619217644054","2.36623106515972","0.361568755074615","12.6339579036469","12.5905385460828","2.06180272209754","4.16750069443065","",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.09836456280755E-09","3.50914319824369E-09","54.2528269904672","138.263492562272","19.0009160013165","11.774331354872","5.25575609116015","-3.66111149549603","7.05102054464064","9.51597603461374","7.05448398243796","1.31286872874306","-3.61801721863773","-6.09746718626496","0.740532889918754","-1.69848529731686","3.68558480251487","2.38104573160996","1.75127660948424","3.33590049400132","0.810848722776853","1.80682612323706","1.27803631115854","-0.262474925014374","3.90747975797213","5.77304389866602","-0.95230071349431","-4.25444531455865","8.44337746020061","11.4595357939895","-2.34930767820801","3.77083954826043","4.07240679733005","8.50142205885291","16.5263069327846","11.9621492865842","12.5339606714948","18.5333530849252","-15.1829798865342","19.4576357162181","12.3038726016439","1.71863780455091","-0.601837487431297","-0.857327810383097","-16.0598321271688","-5.41837431832437","6.80479703939245","7.56770598898946","-2.74226666327483","-9.8538526309173","13.1268655313453","12.5978703860808","-2.02054900725329","1.6266497421157","",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975290508","28.8718416496811","25.5911543466798","28.7746173194355","21.2329349264853","25.603462425178","29.0182629355813","10.2753105598205","7.79583003393792","6.46787463920629","31.2710638842292","64.2447859149364","65.535287370144","30.630441370412","197.697364543187","438.322779739816","159.42717769645","161.372172004157","147.377044034473","95.7904246128352","105.276366380064","194.535299663443","380.158528521919","611.196303891913","607.447497830085","77.2922366864133","127.539918059086","381.24634440952","3046.09115201119","2078.31681806978","140.502378661012","16.0719935356945","-3.56109557576575","2.84933971509302","3.16512339016516","-0.0523754965904146","-0.46391313116429","-1.70527962400085","-1.83655839220664","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542492033","10.3175111982406","13.7410524859152","14.9399250245835","23.1711649813124","15.3776493708921","20.915124272047","23.7034721839593","22.3148806733049","23.9487984162746","40.2829716315506","26.5799916024707","41.1193799882279","26.0063792819079","42.0336689575031","49.1955790596612","40.0830878011993","53.8020877665554","68.9938267692314","136.742358437599","207.605241734472","",
"Armenia","ARM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.386104296155","568.807295439343","1391.16654315168","4107.29676994743","161.163917579159","19.5917703052133","17.7359944945837","10.6984977562983","0.0538040809325366","-1.37367599828147","4.02796948177824","2.35739901911141","4.5985157283794","6.27859410767147","3.20875666635281","4.61801250818827","4.2778755387818","5.98956236068734","2.49725307891563","7.76871548067652","4.28154999826118","5.34580441814725","3.36682464224465","2.30918242990974","1.21390990471085","0.268575076501392","2.15064189848613","2.78770951425761","1.06562263923419","1.80659270159933","6.90051365787157","7.98587852828175","3.10027629995311","1.40106081544975","",
"American Samoa","ASM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.36505293715847","-3.25907462221531","-1.36558343263874","2.81367521367521","3.16061220726536","11.0593351972663","25.776397515528","-15.3648895532304","-0.52356020942409","17.3684210526316","2.24358974358974","-0.962160294226521","1.4697327650683","1.40582171236608","-1.94089005769675","1.69536107125778","1.74828930007058","6.72878072142282","4.8425556863277","14.1527648578811","","","",
